Player,,Loan: start/end,Age,Nationality,Region Nat,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Marko Johansson,Out,End,24,Sweden,Europe,Goalkeeper,"400,000",VfL Bochum,"Bundesliga, German",Top,Germany,First Tier,Hamburger SV,"2. Bundesliga, German","Europe, ex. Top Leagues",Germany,Second Tier,"Jun 30, 2023",0,1679
Philipp Max,Out,End,29,Germany,Europe,Left-Back,"3,000,000",E. Frankfurt,"Bundesliga, German",Top,Germany,First Tier,PSV Eindhoven,"Eredivisie, Netherlands","Europe, ex. Top Leagues",Netherlands,First Tier,"Jun 30, 2023",0,2098
Timo Baumgartl,Out,End,27,Germany,Europe,Centre-Back,"3,000,000",Union Berlin,"Bundesliga, German",Top,Germany,First Tier,PSV Eindhoven,"Eredivisie, Netherlands","Europe, ex. Top Leagues",Netherlands,First Tier,"Jun 30, 2023",0,2490
Saidy Janko,Out,End,27,The Gambia,Africa,Right-Back,"1,000,000",VfL Bochum,"Bundesliga, German",Top,Germany,First Tier,Real Valladolid,"LaLiga2, Spain","Europe, ex. Top Leagues",Spain,Second Tier,"Jun 30, 2023",0,2263
Renato Veiga,Out,End,20,Portugal,Europe,Defensive Midfield,"1,000,000",FC Augsburg,"Bundesliga, German",Top,Germany,First Tier,Sporting B,"Liga 3, Portugal","Europe, ex. Top Leagues",Portugal,Third Tier,"Aug 15, 2023",0,2168
Julian Weigl,Out,End,27,Germany,Europe,Defensive Midfield,"10,000,000",Bor. M'gladbach,"Bundesliga, German",Top,Germany,First Tier,Benfica,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,"Jun 30, 2023",0,1325
Diogo Leite,Out,End,24,Portugal,Europe,Centre-Back,"15,000,000",Union Berlin,"Bundesliga, German",Top,Germany,First Tier,FC Porto,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,"Jun 30, 2023",0,635
Tiago Tomás,Out,End,21,Portugal,Europe,Centre-Forward,"7,000,000",VfB Stuttgart,"Bundesliga, German",Top,Germany,First Tier,Sporting CP,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,"Jun 30, 2023",0,2470
Eduardo Quaresma,Out,End,21,Portugal,Europe,Centre-Back,"2,500,000",TSG Hoffenheim,"Bundesliga, German",Top,Germany,First Tier,Sporting CP,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,"Jun 30, 2023",0,689
Justin Che,Out,End,19,United States,North America,Right-Back,"1,500,000",TSG Hoffenheim,"Bundesliga, German",Top,Germany,First Tier,Dallas,"Major League Soccer, US",North America,US,First Tier,"Jun 30, 2023",0,1341
Jeff Chabot,Out,End,25,Germany,Europe,Centre-Back,"5,500,000",1.FC Köln,"Bundesliga, German",Top,Germany,First Tier,Sampdoria,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,1155
Pierre Kunde,Out,End,27,Cameroon,Africa,Central Midfield,"1,500,000",VfL Bochum,"Bundesliga, German",Top,Germany,First Tier,Olympiacos,"Super League 1, Greece","Europe, ex. Top Leagues",Greece,First Tier,"Jun 30, 2023",0,2107
Mergim Berisha,Out,End,25,Germany,Europe,Centre-Forward,"12,000,000",FC Augsburg,"Bundesliga, German",Top,Germany,First Tier,Fenerbahce,"Süper Lig, Turkey",Asia,Turkey,First Tier,"Jun 30, 2023",0,1812
Omar Alderete,Out,End,26,Paraguay,South America,Centre-Back,"4,000,000",Getafe,"LaLiga, Spain",Top,Spain,First Tier,Hertha BSC,"2. Bundesliga, German","Europe, ex. Top Leagues",Germany,Second Tier,"Jun 30, 2023",0,2013
Ayoze Pérez,Out,End,29,Spain,Europe,Left Winger,"6,000,000",Real Betis,"LaLiga, Spain",Top,Spain,First Tier,Leicester,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,"Jun 30, 2023",0,334
Shon Weissman,Out,End,27,Israel,Europe,Centre-Forward,"4,000,000",Granada CF,"LaLiga, Spain",Top,Spain,First Tier,Real Valladolid,"LaLiga2, Spain","Europe, ex. Top Leagues",Spain,Second Tier,"Jun 30, 2023",0,2367
Javi Hernández,Out,End,25,Spain,Europe,Left-Back,"2,500,000",Girona,"LaLiga, Spain",Top,Spain,First Tier,CD Leganés,"LaLiga2, Spain","Europe, ex. Top Leagues",Spain,Second Tier,"Jun 30, 2023",0,1126
Sandro Ramírez,Out,End,27,Spain,Europe,Centre-Forward,"2,000,000",UD Las Palmas,"LaLiga, Spain",Top,Spain,First Tier,SD Huesca,"LaLiga2, Spain","Europe, ex. Top Leagues",Spain,Second Tier,"Jun 30, 2023",0,2307
Sergi Guardiola,Out,End,32,Spain,Europe,Centre-Forward,"2,000,000",Cádiz CF,"LaLiga, Spain",Top,Spain,First Tier,Real Valladolid,"LaLiga2, Spain","Europe, ex. Top Leagues",Spain,Second Tier,"Jun 30, 2023",0,2347
Pol Lozano,Out,End,23,Spain,Europe,Central Midfield,"1,500,000",Granada CF,"LaLiga, Spain",Top,Spain,First Tier,Espanyol,"LaLiga2, Spain","Europe, ex. Top Leagues",Spain,Second Tier,"Jun 30, 2023",0,2113
Jorge Meré,Out,End,26,Spain,Europe,Centre-Back,"1,200,000",Cádiz CF,"LaLiga, Spain",Top,Spain,First Tier,América,"Liga MX Apertura, Mexico",North America,Mexico,First Tier,"Jun 30, 2023",0,1265
Haris Seferovic,Out,End,31,Switzerland,Europe,Centre-Forward,"4,000,000",Celta de Vigo,"LaLiga, Spain",Top,Spain,First Tier,Benfica,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,"Jun 30, 2023",0,974
Taty Castellanos,Out,End,24,Argentina,South America,Centre-Forward,"15,000,000",Girona,"LaLiga, Spain",Top,Spain,First Tier,New York City,"Major League Soccer, US",North America,US,First Tier,"Jun 30, 2023",0,2435
Anderson Arroyo,Out,End,23,Colombia,South America,Right-Back,"800,000",Alavés,"LaLiga, Spain",Top,Spain,First Tier,Liverpool U21,"Premier League 2, England","Europe, ex. Top Leagues",England,Reserve league,"Jun 30, 2023",0,169
Dennis Hadzikadunic,Out,End,24,Bosnia-Herzegovina,Europe,Centre-Back,"3,000,000",RCD Mallorca,"LaLiga, Spain",Top,Spain,First Tier,Rostov,"Premier Liga, Russia","Europe, ex. Top Leagues",Russia,First Tier,"Jun 30, 2023",0,604
Gastón Álvarez,Out,End,23,Uruguay,South America,Centre-Back,"5,000,000",Getafe,"LaLiga, Spain",Top,Spain,First Tier,Boston River,"Primera División Apertura, Uruguay",South America,Uruguay,First Tier,"Jun 30, 2023",0,873
Marvin Park,Out,End,22,Spain,Europe,Right Winger,"600,000",UD Las Palmas,"LaLiga, Spain",Top,Spain,First Tier,RM Castilla,"Primera Federación - Grupo II, Spain","Europe, ex. Top Leagues",Spain,Third Tier,"Jun 30, 2023",0,1703
Famara Diédhiou,Out,End,30,Senegal,Africa,Centre-Forward,"1,500,000",Granada CF,"LaLiga, Spain",Top,Spain,First Tier,Alanyaspor,"Süper Lig, Turkey","Europe, ex. Top Leagues",Turkey,First Tier,"Jun 30, 2023",0,770
Myziane Maolida,Out,End,24,France,Europe,Left Winger,"1,500,000",Stade Reims,"Ligue 1, France",Top,France,First Tier,Hertha BSC,"2. Bundesliga, German","Europe, ex. Top Leagues",Germany,Second Tier,"Jun 30, 2023",0,1904
Amine Harit,Out,End,26,Morocco,Africa,Attacking Midfield,"12,000,000",Marseille,"Ligue 1, France",Top,France,First Tier,FC Schalke 04,"2. Bundesliga, German","Europe, ex. Top Leagues",Germany,Second Tier,"Jun 30, 2023",0,158
Joaquín Blázquez,Out,End,22,Argentina,South America,Goalkeeper,"400,000",Stade Brestois,"Ligue 1, France",Top,France,First Tier,CA Talleres,"Copa de la Liga Profesional de Fútbol, Argentina",South America,Argentina,League Cup,"Jun 30, 2023",0,1198
Noah Jean Holm,Out,End,22,Norway,Europe,Centre-Forward,"700,000",Stade Reims,"Ligue 1, France",Top,France,First Tier,Rosenborg,"Eliteserien, Norway","Europe, ex. Top Leagues",Norway,First Tier,"Aug 3, 2023",0,1988
Yuito Suzuki,Out,End,21,Japan,Asia,Centre-Forward,"600,000",R. Strasbourg,"Ligue 1, France",Top,France,First Tier,Shimizu S-Pulse,"J2 League, Japan",Asia,Japan,Second Tier,"Jun 30, 2023",0,2661
Faitout Maouassa,Out,End,24,France,Europe,Left-Back,"6,000,000",Montpellier,"Ligue 1, France",Top,France,First Tier,Club Brugge,"Jupiler Pro League, Belgium","Europe, ex. Top Leagues",Belgium,First Tier,"Jun 30, 2023",0,766
Thomas Didillon,Out,End,27,France,Europe,Goalkeeper,"1,000,000",Monaco,"Ligue 1, France",Top,France,First Tier,Cercle Brugge,"Jupiler Pro League, Belgium","Europe, ex. Top Leagues",Belgium,First Tier,"Jun 30, 2023",0,2460
João Victor,Out,End,24,Brazil,South America,Centre-Back,"7,000,000",FC Nantes,"Ligue 1, France",Top,France,First Tier,Benfica,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,"Jun 30, 2023",0,1195
Falaye Sacko,Out,End,28,Mali,Africa,Right-Back,"4,000,000",Montpellier,"Ligue 1, France",Top,France,First Tier,Vit. Guimarães,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,"Jun 30, 2023",0,768
Mahdi Camara,Out,End,25,France,Europe,Central Midfield,"3,000,000",Stade Brestois,"Ligue 1, France",Top,France,First Tier,Saint-Étienne,"Ligue 2, France","Europe, ex. Top Leagues",France,Second Tier,"Jun 30, 2023",0,1600
Check Oumar Diakité,Out,End,20,France,Europe,Central Midfield,"700,000",Le Havre AC,"Ligue 1, France",Top,France,First Tier,Paris FC,"Ligue 2, France","Europe, ex. Top Leagues",France,Second Tier,"Jun 30, 2023",0,471
Alberth Elis,Out,End,27,Honduras,North America,Right Winger,"2,500,000",Stade Brestois,"Ligue 1, France",Top,France,First Tier,G. Bordeaux,"Ligue 2, France","Europe, ex. Top Leagues",France,Second Tier,"Jun 30, 2023",0,66
Maximiliano Caufriez,Out,End,26,Belgium,Europe,Centre-Back,"2,500,000",Clermont Foot,"Ligue 1, France",Top,France,First Tier,Spartak Moscow,"Premier Liga, Russia","Europe, ex. Top Leagues",Russia,First Tier,"Jun 30, 2023",0,1801
Tetê,Out,End,23,Brazil,South America,Right Winger,"24,000,000",Olympique Lyon,"Ligue 1, France",Top,France,First Tier,Shakhtar D.,"Premier Liga, Ukraine","Europe, ex. Top Leagues",Ukraine,First Tier,"Jun 30, 2023",0,2448
Theocharis Tsingaras,Out,End,22,Greece,Europe,Central Midfield,"1,200,000",Toulouse,"Ligue 1, France",Top,France,First Tier,PAOK Salonika,"Super League 1, Greece","Europe, ex. Top Leagues",Greece,First Tier,"Jun 30, 2023",0,2451
Mostafa Mohamed,Out,End,25,Egypt,Africa,Centre-Forward,"6,000,000",FC Nantes,"Ligue 1, France",Top,France,First Tier,Galatasaray,"Süper Lig, Turkey","Europe, ex. Top Leagues",Turkey,First Tier,"Jun 30, 2023",0,1889
Luis Sinisterra,Out,End,24,Colombia,South America,Left Winger,"20,000,000",Bournemouth,"Premier League, England",Top,England,First Tier,Leeds,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,"May 31, 2024",0,1559
Jack Harrison,Out,End,27,England,Europe,Left Winger,"22,000,000",Everton,"Premier League, England",Top,England,First Tier,Leeds,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,"May 31, 2024",0,1076
Luke Thomas,Out,End,22,England,Europe,Left-Back,"12,000,000",Sheff Utd,"Premier League, England",Top,England,First Tier,Leicester,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,"May 31, 2024",0,1586
Rúben Vinagre,Out,End,24,Portugal,Europe,Left-Back,"4,000,000",Everton,"Premier League, England",Top,England,First Tier,Sporting CP,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,"Jun 30, 2023",0,2239
Pedro Porro,Out,End,23,Spain,Europe,Right-Back,"40,000,000",Tottenham,"Premier League, England",Top,England,First Tier,Sporting CP,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,"Jun 30, 2023",0,2084
Manor Solomon,Out,End,23,Israel,Europe,Left Winger,"18,000,000",Fulham,"Premier League, England",Top,England,First Tier,Shakhtar D.,"Premier Liga, Ukraine","Europe, ex. Top Leagues",Ukraine,First Tier,"Jun 30, 2023",0,1619
Deyovaisio Zeefuik,Out,End,25,Netherlands,Europe,Right-Back,"1,200,000",Hellas Verona,"Serie A, Italy",Top,Italy,First Tier,Hertha BSC,"2. Bundesliga, German","Europe, ex. Top Leagues",Germany,Second Tier,"Jun 30, 2023",0,610
Krzysztof Piatek,Out,End,27,Poland,Europe,Centre-Forward,"5,500,000",Salernitana,"Serie A, Italy",Top,Italy,First Tier,Hertha BSC,"2. Bundesliga, German","Europe, ex. Top Leagues",Germany,Second Tier,"Jun 30, 2023",0,1432
Jayden Braaf,Out,End,20,Netherlands,Europe,Centre-Forward,"1,000,000",Hellas Verona,"Serie A, Italy",Top,Italy,First Tier,B. Dortmund II,"3. Liga, German","Europe, ex. Top Leagues",Germany,Third Tier,"Jun 30, 2023",0,1139
William Troost-Ekong,Out,End,29,Nigeria,Africa,Centre-Back,"2,500,000",Salernitana,"Serie A, Italy",Top,Italy,First Tier,Watford,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,"Jun 30, 2023",0,2602
Denis Dragus,Out,End,23,Romania,Europe,Centre-Forward,"1,500,000",Genoa,"Serie A, Italy",Top,Italy,First Tier,Standard Liège,"Jupiler Pro League, Belgium","Europe, ex. Top Leagues",Belgium,First Tier,"Jun 30, 2023",0,598
Tonny Vilhena,Out,End,28,Netherlands,Europe,Central Midfield,"3,800,000",Salernitana,"Serie A, Italy",Top,Italy,First Tier,Espanyol,"LaLiga2, Spain","Europe, ex. Top Leagues",Spain,Second Tier,"Jun 30, 2023",0,2527
George Puscas,Out,End,27,Romania,Europe,Centre-Forward,"2,500,000",Genoa,"Serie A, Italy",Top,Italy,First Tier,Reading,"League One, England","Europe, ex. Top Leagues",England,Third Tier,"Jun 30, 2023",0,881
Rémi Oudin,Out,End,26,France,Europe,Right Winger,"4,000,000",Lecce,"Serie A, Italy",Top,Italy,First Tier,G. Bordeaux,"Ligue 2, France","Europe, ex. Top Leagues",France,Second Tier,"Jun 30, 2023",0,2161
Adolfo Gaich,Out,End,24,Argentina,South America,Centre-Forward,"1,800,000",Hellas Verona,"Serie A, Italy",Top,Italy,First Tier,CSKA Moscow,"Premier Liga, Russia","Europe, ex. Top Leagues",Russia,First Tier,"Jun 30, 2023",0,40
Nikola Moro,Out,End,25,Croatia,Europe,Defensive Midfield,"6,500,000",Bologna,"Serie A, Italy",Top,Italy,First Tier,Dynamo Moscow,"Premier Liga, Russia","Europe, ex. Top Leagues",Russia,First Tier,"Jun 30, 2023",0,1975
Oliver Abildgaard,Out,End,27,Denmark,Europe,Defensive Midfield,"3,500,000",Hellas Verona,"Serie A, Italy",Top,Italy,First Tier,Rubin Kazan,"Premier Liga, Russia","Europe, ex. Top Leagues",Russia,First Tier,"Jun 30, 2023",0,2007
Marlon,Out,End,27,Brazil,South America,Centre-Back,"6,000,000",Monza,"Serie A, Italy",Top,Italy,First Tier,Shakhtar D.,"Premier Liga, Ukraine","Europe, ex. Top Leagues",Ukraine,First Tier,"Jun 30, 2023",0,1685
Ronaldo Vieira,Out,End,24,England,Europe,Central Midfield,"1,500,000",Torino,"Serie A, Italy",Top,Italy,First Tier,Sampdoria,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,2228
Wladimiro Falcone,Out,End,28,Italy,Europe,Goalkeeper,"5,000,000",Lecce,"Serie A, Italy",Top,Italy,First Tier,Sampdoria,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,2607
Fabio Depaoli,Out,End,26,Italy,Europe,Right-Back,"3,000,000",Hellas Verona,"Serie A, Italy",Top,Italy,First Tier,Sampdoria,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,754
Giuseppe Pezzella,Out,End,25,Italy,Europe,Left-Back,"2,500,000",Lecce,"Serie A, Italy",Top,Italy,First Tier,Parma,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,932
Mattia Aramu,Out,End,28,Italy,Europe,Attacking Midfield,"2,200,000",Genoa,"Serie A, Italy",Top,Italy,First Tier,Venezia,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,1770
Alberto Grassi,Out,End,28,Italy,Europe,Defensive Midfield,"2,000,000",FC Empoli,"Serie A, Italy",Top,Italy,First Tier,Parma,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,68
Pietro Ceccaroni,Out,End,27,Italy,Europe,Centre-Back,"1,600,000",Lecce,"Serie A, Italy",Top,Italy,First Tier,Venezia,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,2109
Antonio Candreva,Out,End,36,Italy,Europe,Right Midfield,"1,500,000",Salernitana,"Serie A, Italy",Top,Italy,First Tier,Sampdoria,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,268
Francesco Caputo,Out,End,35,Italy,Europe,Centre-Forward,"1,500,000",FC Empoli,"Serie A, Italy",Top,Italy,First Tier,Sampdoria,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,826
Luca Ravanelli,Out,End,26,Italy,Europe,Centre-Back,"1,400,000",Frosinone,"Serie A, Italy",Top,Italy,First Tier,Cremonese,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,1529
Leonardo Loria,Out,End,24,Italy,Europe,Goalkeeper,"275,000",Frosinone,"Serie A, Italy",Top,Italy,First Tier,Pisa,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,1464
Kristoffer Askildsen,Out,End,22,Norway,Europe,Central Midfield,"1,400,000",Lecce,"Serie A, Italy",Top,Italy,First Tier,Sampdoria,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,1430
Bartosz Bereszynski,Out,End,30,Poland,Europe,Right-Back,"1,600,000",SSC Napoli,"Serie A, Italy",Top,Italy,First Tier,Sampdoria,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,342
Domen Crnigoj,Out,End,27,Slovenia,Europe,Central Midfield,"1,500,000",Salernitana,"Serie A, Italy",Top,Italy,First Tier,Venezia,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,"Jun 30, 2023",0,653
Hans Nicolussi Caviglia,Out,End,23,Italy,Europe,Central Midfield,"2,000,000",Salernitana,"Serie A, Italy",Top,Italy,First Tier,Juve Next Gen,"Serie C - Girone B, Italy","Europe, ex. Top Leagues",Italy,Third Tier,"Jun 30, 2023",0,971
